brand,platform,post_url,post_date,post_time,post_type,video_length_seconds,caption_text,hashtags,likes,comments,shares,saves,views,impressions,engagement_rate_manual,visual_style,caption_tone,cta_type,has_creator_collab,creator_handle,has_music_audio,audio_description,emoji_count_in_caption,caption_word_count,mentions_count,is_paid_partnership,notes,content_pillar,collaboration,content_mix_funnel,sku,content_theme
Hornitos,Instagram,https://www.instagram.com/reel/DUFPalfABjp/,2026-01-29,10:10,Reel,0,"Send this to an amigo who slept through Spanish class🤫
As the Tequila de Todos, we want Todos to enjoy the halftime show. So by sharing this video, we’ll slowly Spanish-ify your feed so you can get ready.",,89,11,0,0,0,0,,,Casual / Conversational,Share this,No,,Yes,,1,38,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Casamigos,Instagram,https://www.instagram.com/reel/DRVn1ELCoeW/,2025-11-21,19:00,Reel,0,Traveling home for Friendsgiving - where the margs and friends are waiting,,97,0,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,12,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
El Jimador,Instagram,https://www.instagram.com/p/DUteTDvCrtT/,2026-02-13,14:53,Static Image,0,"Looking at that Paloma on Friday afternoon like...

100% blue agave tequila, 100% of the time.

#eljimadortequila",#eljimadortequila,96,1,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,17,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Lunazul,Instagram,https://www.instagram.com/p/DVRi4lVCc5A/,2026-02-27,15:05,Carousel,0,"When in doubt, trust the bartenders’ pick. Our February favorite is a Cactus Flower made with Lunazul Blanco. #lunazul",#lunazul,88,8,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,19,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
El Jimador,Instagram,https://www.instagram.com/p/DPg8kq9DG_R/,2025-10-07,12:30,Static Image,0,"Happy National Taco Day! No better way to celebrate than with el Jimador, the official tequila of tacotuesday.official.

Cook up your favorite tacos, mix up your favorite el Jimador cocktails and Sip For Yourself.

#eljimadortequila #tacotuesday #nationaltacoday",#eljimadortequila #tacotuesday #nationaltacoday,94,1,0,0,0,0,,,Playful / Fun,None,No,,No,,0,37,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DVPcSCACvXJ/,2026-02-27,14:30,Static Image,0,Milagro is best enjoyed together.,,88,5,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,5,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Espolon,Instagram,https://www.instagram.com/p/DSnYHFHiIG2/,2025-12-23,13:01,Static Image,0,"This holiday season, we opened a cantina where everyone gets a seat at the table. 🎄🥃",,91,0,0,0,0,0,,,Casual / Conversational,None,No,,No,,2,16,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DSBBOXjkiee/,2025-12-08,15:29,Static Image,0,Something for everyone on your list (and maybe yourself too). Which are you grabbing for the season?,,85,5,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,17,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DSdavj3E_xT/,2025-12-19,16:11,Reel,0,"Some gifts speak for themselves.
1800 Milenio is crafted to be opened, poured, and remembered.",,89,1,0,0,0,0,,,Premium / Luxury,None,No,,Yes,,0,15,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DV2XP_gku2W/,2026-03-13,23:16,Reel,0,Earlier this month we brought the energy of Mexico City right to NY with an exclusive NYFW popup with handshake_bar. Huge thanks to everyone who came through to share a round (or two) with us.,,85,5,0,0,0,0,,,Premium / Luxury,None,No,,Yes,,0,35,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/reel/DTDgLhdEZm8/,2026-01-03,11:10,Reel,0,"Awards season, served the Milagro way. Proudly sponsoring the 31st Annual Critics Choice Awards. Tune in Sunday, January 4th from 7:00 PM to 10:00 PM ET. See you there criticschoice!",,85,4,0,0,0,0,,,Casual / Conversational,None,No,,Yes,,0,30,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DQ4lLGCkQ2A/,2025-11-10,12:20,Reel,0,"Crushed ice isn’t just for show. It defines the drink.

More surface area means faster chill, softer dilution, and a smoother sip.

Paired with 1800 Cristalino, the Jalisco Julep brings bright mint and refined clarity together for the ultimate smooth refreshment.",,85,4,0,0,0,0,,,Premium / Luxury,None,No,,Yes,,0,41,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/reel/DRke1-9kQig/,2025-11-27,13:31,Reel,0,"Good company, great taste, one pour that brings it all together.
Make this season golden with 1800 Reposado.",,88,1,0,0,0,0,,,Aspirational / Lifestyle,Try this recipe,No,,Yes,,0,18,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DVMVnW7Eq4W/,2026-02-25,14:34,Static Image,0,Thinking about those warmer months.,,81,7,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,5,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Lunazul,Instagram,https://www.instagram.com/p/DUgaCy6CTDz/,2026-02-08,13:05,Carousel,0,"Bites in one hand, Lunazul in the other. Now all we need is a champion... tell us: who’s taking the W this year?",,82,3,0,0,0,0,,,Casual / Conversational,Comment below,No,,No,,0,23,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Lunazul,Instagram,https://www.instagram.com/p/DPje0Q-ABHx/,2025-10-08,12:08,Static Image,0,"You Could Win a Trip to the Big Game!

Enter the Lunazul Tequila Your Game, Your Way Sweepstakes for a chance to win:
- two (2) tickets to an NBA Basketball Game of your choice out of the following teams: Orlando Magic, Charlotte Hornets, San Antonio Spurs, or Detroit Pistons
- one (1) $2,000 prepaid, non-reloadable gift card.

Visit the link in our bio to enter.
One (1) winner will be selected. Sweepstake ends on 11/30/2025.

NO PURCHASE NECESSARY. Open to legal residents of the 50 US/DC excluding  [ME, NH, or VT]  ,age 21 or older. Starts [10/01/2025] 12:00AM ET & ends [11/30/2025] 11 :59PM ET. Void where prohibited. Subject to Official Rules. See Official Rules at the link in our bio for prize, odds & complete details. Sponsor: Heaven Hill Sales Co., 1064 Loretto Rd., Bardstown, KY 40004.",,80,4,0,0,0,0,,,Casual / Conversational,Enter giveaway,No,,No,,0,139,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Espolon,Instagram,https://www.instagram.com/p/DSYjnacj_tV/,2025-12-17,18:52,Carousel,0,Wrapped? no. Responsible for the vibes? Absolutely. 🙂‍↕️🎁,,76,8,0,0,0,0,,,Casual / Conversational,None,No,,No,,3,8,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
1800 Tequila,Instagram,https://www.instagram.com/p/DSP_URKF5Bw/,2025-12-14,11:01,Carousel,0,"The table says Reserved. The pour confirms it.

1800 Cristalino brings clarity and craft to gatherings made with intention.",,83,1,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,19,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
Milagro,Instagram,https://www.instagram.com/p/DSbBMSKCGA7/,2025-12-19,12:00,Static Image,0,"Milagro has a way of bringing everyone together. The conversation, the laughter, the shared moments.",,77,6,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,15,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
El Jimador,Instagram,https://www.instagram.com/p/DTLxPbaDKcz/,2026-01-06,16:13,Static Image,0,"New year, same great el Jimador!

#eljimadortequila #SipForYourself",#eljimadortequila #SipForYourself,78,5,0,0,0,0,,,Casual / Conversational,None,No,,No,,0,8,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) October 1, 2025 - March 16, 2026.csv",,,,,
