"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/17/2026 6:37 pm","17843840289674704","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3812396205377282431","",,"1,334","1,334","","1,199","1,199","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","944","83","0","","","","",""
"1/17/2026 12:00 am","18099483736857022","Instagram","Post","Photo","josecuervotequila"," ","https://www.instagram.com/p/DTmWosKjcua/","A little throwback moment never hurt anyone 📺✨

We bring our iconic Cuervo ads to our activations to celebrate our history — timeless & unforgettable.

Share this with a tequila lover!",,"3,430","3,430","","2,264","2,264","","","1.17%","40","38","38","","","","","","","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/16/2026 7:01 pm","17892291747402017","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3811683262801106404","Hopping on the trend with our 2016 Day Of The Dead limited edition 👏🤩 If you still have this bottle, we need to see it! 😏 DM us ASAP",,"2,048","2,048","","1,658","1,658","","","0.29%","6","","","","","","","","","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","1,065","216","2","","","","",""
"1/15/2026 3:53 pm","17940528888008521","Instagram","Post","Carousel","josecuervotequila"," ","https://www.instagram.com/p/DTi6H46jkY4/","We rang in the new year the only way we know how 🥂🔥

Hit the link in bio to learn a new Cuervo cocktail recipe & keep the vibes going!",,"2,665","2,665","","1,136","1,136","","","2.06%","55","50","50","","","","","","","0","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/15/2026 9:59 am","17856475143548033","Instagram","Story","Video","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810686040517001200","obsessed 🤩🍋‍🟩",,"227","227","","179","179","","","0.44%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","153","31","1","","","","",""
"1/15/2026 9:56 am","17905479669341858","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810684348216018464","",,"308","308","","243","243","","","0.32%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","189","11","0","","","","",""
"1/15/2026 9:51 am","18037817105731747","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810681709604524406","",,"210","210","","187","187","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","188","6","0","","","","",""
"1/15/2026 9:50 am","18093498637971824","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810681438056896990","",,"227","227","","191","191","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","188","12","0","","","","",""
"1/15/2026 9:50 am","18013987586814530","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810681376182526412","",,"262","262","","221","221","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","182","17","0","","","","",""
"1/14/2026 8:22 pm","18112741495626997","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810274647854554278","",,"216","216","","194","194","","","0.46%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","176","20","1","","","","",""
"1/14/2026 6:53 pm","18067150436404784","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810229745104146755","",,"244","244","","205","205","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","204","7","0","","","","",""
"1/14/2026 6:47 pm","17898817806367382","Instagram","Story","Photo","josecuervotequila"," ","https://www.instagram.com/stories/josecuervotequila/3810226648768303755","",,"252","252","","213","213","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","215","8","0","","","","",""
