"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"12/15/2025 5:00 pm","18086586272486906","Instagram","Post","Photo","patron","https://www.instagram.com/p/DSTNJAajhT1/","We’ve reimagined what Añejo can be with PATRÓN Cristalino-a wood charcoal-filtered tequila that’s smooth tasting, and crystal clear.
 
#PATRONTequila #PATRONCristalino","","674","666","8",""
"10/17/2025 3:05 pm","18148528813426840","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DP6-E-YARA3/","Your haunted happy hour awaits 👻
 
SPOOKY-RITA
1.5 oz. Casamigos Blanco Tequila
.75 oz. Fresh Blood Orange Juice
.5 oz. Fresh Lime Juice
.25 oz. Simple Syrup
1 Pinch Cinnamon
½ Thick Rim Black Lava Salt/Sugar 2:1 Ratio
Garnish Dehydrated Blood Orange Wheel + Rosemary Sprig (Suggest dipping in edible gold dust)
 
Wet ½ rim of glass with orange slice and dip into salt mixture. Combine all ingredients into a tin shaker, then add ice, shake vigorously and strain into a rimmed rocks glass. Add fresh ice (suggest pebble/crushed) and garnish.","","672","656","16",""
"12/1/2025 12:00 pm","17850031563566732","Instagram","Reel","Video","drink818","https://www.instagram.com/reel/DRunxInlKHu/","The 818 Holiday Surprise Box is now SOLD OUT. Join our Happy Hour Community Channel for exclusive access to future merch drops.","","661","609","52",""
"10/30/2025 5:20 pm","17977837508928210","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DQcr-3VEh1c/","Cheers to fall","","644","629","15",""
"1/21/2026 3:30 pm","17861315010510824","Instagram","Post","Carousel","casamigos","https://www.instagram.com/p/DTyUWB7FR5O/","Next stop, Park City 🎬❄️","","633","604","29",""
"12/29/2025 5:15 pm","18552798664009617","Instagram","Post","Photo","patron","https://www.instagram.com/p/DS3SDh0iX5o/","This holiday season, deck the shelf with top shelf tequila—PATRÓN, made with agave, water and time.   

#PATRONTequila #PATRONSilver #PATRONReposado #PATRONCristalino","","625","619","6",""
"10/31/2025 3:15 pm","17920767786179573","Instagram","Post","Carousel","drink818","https://www.instagram.com/p/DQfCh1kEh2g/","Happy Halloween!🧡

Celebrate with the Maple Dream and find more spooky sips at drink818.com","","623","603","20",""
"10/14/2025 4:03 pm","18330044251229493","Instagram","Post","Carousel","teremana","https://www.instagram.com/p/DPzWfIfkQpO/","From the agave fields to your glass 🌿

For over 10,000 years, agave has symbolized strength, creativity, and culture across Mesoamerica.

This Hispanic Heritage Month, we honor its deep roots — and those who’ve kept its spirit alive. Salud! 🥃","","622","610","12",""
"1/27/2026 6:51 pm","18250993372291006","Instagram","Post","Photo","patron","https://www.instagram.com/p/DUCIBCiFsrO/","Celebrate the best in music with the best of tequila. 

PATRÓN is the official tequila partner of the GRAMMY Awards. 

#PATRONxGRAMMYS #PATRONELALTO","","620","613","7",""
"10/8/2025 1:53 pm","17942683212062535","Instagram","Reel","Video","espolontequila","https://www.instagram.com/reel/DPjqXKskj1L/","CDMX GRWM, but made better with Espolòn. Luz had the playlist, we brought the margaritas.

#espolontequila #Ad21 #drinkresponsibly","","616","592","24",""
