brand,platform,post_date,post_type,post_url,content_pillar,content_mix_funnel,collaboration,likes,comments,shares,saves,views,caption_text,hashtags,post_time,video_length_seconds,impressions,total_engagement,caption_word_count,creator_handle,has_creator_collab,is_paid_partnership
Devils Reserve,Instagram,2025-11-21,Reel,https://www.instagram.com/reel/DRVOut1gH2d/,The Diablito Made Me Do It,,Devils Reserve,29,2,4,2,"20,955","I love Devil’s Reserve parties because the rules stop at the door!

Costumes, cocktails, & questionable dance moves? Always 😈

Tag your partner in chaos below!",,11/21/2025 3:21 pm,,"20,955",37,26.0,,,
Devils Reserve,Instagram,2025-11-25,Static Image,https://www.instagram.com/p/DRfue66DpCc/,The Sweet Heat,,Devils Reserve,13,0,1,1,0,"Shot of the year?!

Try a Devil’s Reserve shot and decide for yourself 🔥

👉 Tag us when you do — we’ll be watching!",,11/25/2025 5:11 pm,,"2,146",15,24.0,,,
Devils Reserve,Instagram,2025-11-28,Reel,https://www.instagram.com/reel/DRnjs5Mibxd/,The Devil's Advocate,,Devils Reserve,30,0,7,2,"28,237","The devil’s in the details… and he loves every one of these 😈

Who’s buying the next round of Devil’s Reserve?! Send this to a friend and they HAVE to do it 👀",,11/28/2025 6:11 pm,,"28,237",39,33.0,,,
Devils Reserve,Instagram,2025-12-01,Carousel,https://www.instagram.com/p/DRvzyZNjJxp/,The Diablito Made Me Do It,,Devils Reserve,13,0,0,0,0,"Caught in 4K doing the devil’s work.

And we’d do it again 🔥 😈

Tag your shot partner to take a DR with!",,12/1/2025 11:05 pm,,"1,104",13,23.0,,,
Devils Reserve,Instagram,2025-12-04,Reel,https://www.instagram.com/reel/DR2gsiSCZxY/,The Diablito Made Me Do It,,Devils Reserve,30,3,3,2,"1,125",Suddenly I can see the chaos so clearly 😏,,12/4/2025 1:34 pm,,"1,125",38,9.0,,,
Devils Reserve,Instagram,2025-12-09,Carousel,https://www.instagram.com/p/DSDyN8wDVRP/,Hell on Wheels,,Devils Reserve,47,4,7,0,0,"The Devil’s Reserve Bronco pulled up + the good times followed 🔥

👉 Tell us where we should roll up next!",,12/9/2025 5:16 pm,,"1,368",58,21.0,,,
Devils Reserve,Instagram,2025-12-12,Reel,https://www.instagram.com/reel/DSLm435jSPj/,The Diablito Made Me Do It,,Devils Reserve,22,2,0,2,693,Every Devil’s Reserve shot sees me walking in like:… here we go again 😈🔥,,12/12/2025 6:12 pm,,693,26,14.0,,,
Devils Reserve,Instagram,2025-12-15,Reel,https://www.instagram.com/reel/DST4tLeDgTP/,The Diablito Made Me Do It,,Devils Reserve,14,0,0,1,580,"'@vivamehta is always finding ways to let loose after a crazy work week!

Raise a little hell with @devilsreserve 😈",,12/15/2025 11:22 pm,,580,15,20.0,,,
Devils Reserve,Instagram,2025-12-18,Static Image,https://www.instagram.com/p/DSai58SERCf/,The Devil's Advocate,,Devils Reserve,22,0,2,1,0,"Stockings stuffed. Mischief loaded 😈

A little devil goes a long way this holiday season 🎁",,12/18/2025 1:25 pm,,802,25,16.0,,,
Devils Reserve,Instagram,2025-12-23,Static Image,https://www.instagram.com/p/DSnykUjjQGw/,The Devil's Advocate,,Devils Reserve,22,1,2,0,0,"Consider this your official invitation to misbehave, one mini at a time 😈

Send this to someone who needs the Devil’s Reserve minis on their wishlist!",,12/23/2025 4:52 pm,,"1,071",25,26.0,,,
Devils Reserve,Instagram,2025-12-25,Reel,https://www.instagram.com/reel/DStHVyHDZ65/,The Diablito Made Me Do It,,Devils Reserve,13,0,2,1,518,"Consider this your sign to upgrade the gift exchange 😈

Check out the link in bio to get your easy last-minute gift!",,12/25/2025 6:31 pm,,518,16,22.0,,,
