"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"1/15/2026 1:23 pm","18077787857589240","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DTio8SuCFwz/","You’ve been summoned 😈 ⏱️

Tag your victim below👇",,"804","804","","685","685","","","2.99%","24","21","21","","","","","","","0","1","2","","","","","","","","","804","804","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/15/2026 1:23 pm","7595655550386310414","TikTok","Post","Video","'@devilsreserve","Estefanie Marmolejo","https://www.tiktok.com/@devilsreserve/video/7595655550386310414?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","You’ve been summoned 😈 ⏱️ Tag your victim below👇",,"109","","","94","","","","0.92%","1","1","1","","","","","","","0","0","","","","","","","","","","109","","","","","","","","","0","0","102","","0","1","4","0","2","","","","","","","","","2.35",""
"1/14/2026 6:13 pm","18070626887577167","Instagram","Story","Photo","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3810209730237917889","pick your mischief 😈 midway to the weekend",,"236","236","","191","191","","","0.42%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","57","35","0","","","","",""
"1/12/2026 11:22 pm","18089186006009699","Instagram","Post","Carousel","devilsreserve"," ","https://www.instagram.com/p/DTb_IULDkjH/","I spy with my little eye…
a devilishly good time waiting to happen! 😈🔥

👉 Tag us the next time you spot us in the wild!",,"476","476","","287","287","","","2.94%","14","13","13","","","","","","","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/12/2026 11:22 pm","391065524084625_122192500292447934","Facebook","Post","Photo","Devil's Reserve"," ","https://www.facebook.com/122157258710447934/posts/122192500292447934","I spy with my little eye…
a devilishly good time waiting to happen! 😈🔥

👉 Tag us the next time you spot us in the wild!","https://www.facebook.com/122157258710447934/posts/122192500292447934","45","45","0","26","26","0","","0%","0","0","0","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/12/2026 6:00 pm","18074092805612485","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3808753428504612017","DRY JANUARY WHO???
SEND THIS TO YOUR SHOT PARTNER 😈",,"75","75","","62","62","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","50","5","0","","","","",""
"1/12/2026 11:57 am","18007910075673238","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3808570727206031446","",,"79","79","","62","62","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","55","6","0","","","","",""
"1/12/2026 11:56 am","18094315636938041","Instagram","Story","Video","devilsreserve"," ","https://www.instagram.com/stories/devilsreserve/3808570611384543497","",,"183","183","","158","158","","","2.73%","5","","","","","","","","","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","62","5","0","","","","",""
"1/9/2026 6:10 pm","391065524084625_122192127950447934","Facebook","Reel","Video","Devil's Reserve","Estefanie Marmolejo","https://www.facebook.com/reel/4251858871719748/","Bringing that “let’s go raise a little hell… responsibly” energy 😈 🥂

So… you in or what? Tag your partner in crime in the comments below!","https://www.facebook.com/reel/4251858871719748/","23","23","0","27","","","","0%","0","0","0","","0","0","0","0","0","0","0","","","","","0","","","","","6","6","0","6","6","0","0","0","0","","","","","","","","","","","","","","","","","","3.02",""
"1/9/2026 6:10 pm","17916926214101646","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DTTtBEZFEE2/","Bringing that “let’s go raise a little hell… responsibly” energy 😈 🥂

So… you in or what? Tag your partner in crime in the comments below!",,"751","751","","696","696","","","2.8%","21","16","16","","","","","","","0","4","1","","","","","","","","","751","751","","","","","","","","","","","","","","","","","","","","","","","","","",""
