"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"05-12-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-13-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-14-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-15-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-16-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-17-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-18-2025","'@devilsreserve","0","0","2","0","0","0","0%","0","0","0","0"
"05-19-2025","'@devilsreserve","0","1","3","0","0","0","0%","0","0","0","0"
"05-20-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-21-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-22-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-23-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-24-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-25-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-26-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-27-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-28-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-29-2025","'@devilsreserve","0","0","3","0","0","0","0%","0","0","0","0"
"05-30-2025","'@devilsreserve","0","1","4","0","0","0","0%","0","0","0","0"
"05-31-2025","'@devilsreserve","0","0","4","0","0","0","0%","0","0","0","0"
"06-01-2025","'@devilsreserve","1","0","4","73","73","0","0%","0","0","0","3"
"06-02-2025","'@devilsreserve","0","0","4","46","46","3","6.52%","3","0","0","3"
"06-03-2025","'@devilsreserve","0","0","4","2","2","0","0%","0","0","0","0"
"06-04-2025","'@devilsreserve","0","0","4","2","2","0","0%","0","0","0","0"
"06-05-2025","'@devilsreserve","1","0","4","3","3","0","0%","0","0","0","0"
"06-06-2025","'@devilsreserve","0","0","4","5","5","2","40%","2","0","0","1"
"06-07-2025","'@devilsreserve","0","1","5","6","6","1","16.67%","1","0","0","0"
"06-08-2025","'@devilsreserve","0","0","5","2","2","0","0%","0","0","0","1"
"06-09-2025","'@devilsreserve","1","0","5","104","104","0","0%","0","0","0","1"
"06-10-2025","'@devilsreserve","0","0","5","11","11","1","9.09%","1","0","0","1"
"06-11-2025","'@devilsreserve","0","0","5","6","6","0","0%","0","0","0","1"
"06-12-2025","'@devilsreserve","0","0","5","8","8","0","0%","0","0","0","1"
"06-13-2025","'@devilsreserve","0","0","5","8","8","0","0%","0","0","0","1"
"06-14-2025","'@devilsreserve","0","0","5","7","7","0","0%","0","0","0","1"
"06-15-2025","'@devilsreserve","0","0","5","9","9","0","0%","0","0","0","0"
"06-16-2025","'@devilsreserve","0","0","5","7","7","0","0%","0","0","0","0"
"06-17-2025","'@devilsreserve","0","0","5","7","7","0","0%","0","0","0","2"
"06-18-2025","'@devilsreserve","0","0","5","3","3","0","0%","0","0","0","0"
"06-19-2025","'@devilsreserve","0","0","5","0","0","0","0%","0","0","0","0"
"06-20-2025","'@devilsreserve","1","0","5","111","111","0","0%","0","0","0","0"
"06-21-2025","'@devilsreserve","0","0","5","48","48","1","2.08%","1","0","0","1"
"06-22-2025","'@devilsreserve","0","0","5","13","13","0","0%","0","0","0","2"
"06-23-2025","'@devilsreserve","0","0","5","4","4","0","0%","0","0","0","2"
"06-24-2025","'@devilsreserve","0","0","5","13","13","0","0%","0","0","0","0"
"06-25-2025","'@devilsreserve","0","0","5","5","5","0","0%","0","0","0","1"
"06-26-2025","'@devilsreserve","0","2","7","28","28","12","42.86%","6","6","0","6"
"06-27-2025","'@devilsreserve","0","1","8","8","8","0","0%","0","0","0","0"
"06-28-2025","'@devilsreserve","0","0","8","14","14","0","0%","0","0","0","1"
"06-29-2025","'@devilsreserve","0","0","8","7","7","0","0%","0","0","0","0"
"06-30-2025","'@devilsreserve","0","0","8","8","8","1","12.5%","1","0","0","1"
"07-01-2025","'@devilsreserve","0","1","9","15","15","0","0%","0","0","0","0"
"07-02-2025","'@devilsreserve","0","0","9","8","8","0","0%","0","0","0","1"
"07-03-2025","'@devilsreserve","0","0","9","3","3","0","0%","0","0","0","1"
"07-04-2025","'@devilsreserve","1","0","9","133","133","1","0.75%","1","0","0","1"
"07-05-2025","'@devilsreserve","0","1","10","39","39","3","7.69%","3","0","0","0"
"07-06-2025","'@devilsreserve","0","0","10","199","199","6","3.02%","5","1","0","1"
"07-07-2025","'@devilsreserve","1","0","10","162","162","4","2.47%","4","0","0","2"
"07-08-2025","'@devilsreserve","0","0","10","26","26","2","7.69%","2","0","0","0"
"07-09-2025","'@devilsreserve","0","0","10","13","13","0","0%","0","0","0","0"
"07-10-2025","'@devilsreserve","1","0","10","113","113","1","0.88%","1","0","0","0"
"07-11-2025","'@devilsreserve","0","0","10","37","37","4","10.81%","4","0","0","0"
"07-12-2025","'@devilsreserve","0","0","10","20","20","0","0%","0","0","0","1"
"07-13-2025","'@devilsreserve","0","0","10","22","22","0","0%","0","0","0","2"
"07-14-2025","'@devilsreserve","0","0","10","5","5","0","0%","0","0","0","0"
"07-15-2025","'@devilsreserve","0","0","10","4","4","1","25%","1","0","0","0"
"07-16-2025","'@devilsreserve","0","0","10","1","1","0","0%","0","0","0","0"
"07-17-2025","'@devilsreserve","0","1","11","10","10","0","0%","0","0","0","4"
"07-18-2025","'@devilsreserve","0","0","11","4","4","0","0%","0","0","0","0"
"07-19-2025","'@devilsreserve","0","0","11","10","10","0","0%","0","0","0","1"
"07-20-2025","'@devilsreserve","0","0","11","0","0","0","0%","0","0","0","0"
"07-21-2025","'@devilsreserve","0","0","11","0","0","0","0%","0","0","0","0"
"07-22-2025","'@devilsreserve","0","0","11","1","1","0","0%","0","0","0","0"
"07-23-2025","'@devilsreserve","0","0","11","7","7","0","0%","0","0","0","2"
"07-24-2025","'@devilsreserve","0","1","12","6","6","0","0%","0","0","0","0"
"07-25-2025","'@devilsreserve","0","0","12","0","0","0","0%","0","0","0","0"
"07-26-2025","'@devilsreserve","0","0","12","1","1","0","0%","0","0","0","0"
"07-27-2025","'@devilsreserve","0","-1","11","6","6","0","0%","0","0","0","0"
"07-28-2025","'@devilsreserve","0","0","11","4","4","0","0%","0","0","0","0"
"07-29-2025","'@devilsreserve","0","0","11","2","2","0","0%","0","0","0","0"
"07-30-2025","'@devilsreserve","0","0","11","2","2","0","0%","0","0","0","0"
"07-31-2025","'@devilsreserve","0","0","11","1","1","0","0%","0","0","0","0"
"08-01-2025","'@devilsreserve","0","0","11","1","1","1","100%","1","0","0","0"
"08-02-2025","'@devilsreserve","0","0","11","1","1","0","0%","0","0","0","0"
"08-03-2025","'@devilsreserve","0","0","11","21","21","0","0%","0","0","0","2"
"08-04-2025","'@devilsreserve","0","0","11","4","4","0","0%","0","0","0","0"
"08-05-2025","'@devilsreserve","0","0","11","0","0","0","0%","0","0","0","0"
"08-06-2025","'@devilsreserve","0","0","11","2","2","0","0%","0","0","0","0"
"08-07-2025","'@devilsreserve","1","0","11","96","96","3","3.13%","3","0","0","1"
"08-08-2025","'@devilsreserve","0","0","11","3","3","0","0%","0","0","0","0"
"08-09-2025","'@devilsreserve","0","0","11","16","16","1","6.25%","1","0","0","0"
"08-10-2025","'@devilsreserve","0","0","11","9","9","0","0%","0","0","0","1"
"08-11-2025","'@devilsreserve","0","0","11","16","16","1","6.25%","1","0","0","1"
"08-12-2025","'@devilsreserve","0","0","11","2","2","0","0%","0","0","0","0"
"08-13-2025","'@devilsreserve","0","0","11","14","14","0","0%","0","0","0","1"
"08-14-2025","'@devilsreserve","1","1","12","115","115","7","6.09%","7","0","0","1"
"08-15-2025","'@devilsreserve","0","0","12","23","23","1","4.35%","1","0","0","0"
"08-16-2025","'@devilsreserve","0","0","12","4","4","2","50%","2","0","0","0"
"08-17-2025","'@devilsreserve","0","0","12","4","4","1","25%","1","0","0","0"
"08-18-2025","'@devilsreserve","0","0","12","7","7","1","14.29%","1","0","0","2"
"08-19-2025","'@devilsreserve","0","1","13","17","17","0","0%","0","0","0","5"
"08-20-2025","'@devilsreserve","0","0","13","14","14","0","0%","0","0","0","2"
"08-21-2025","'@devilsreserve","0","0","13","1","1","0","0%","0","0","0","0"
"08-22-2025","'@devilsreserve","1","0","13","114","114","2","1.75%","1","0","1","3"
"08-23-2025","'@devilsreserve","0","0","13","15","15","1","6.67%","1","0","0","0"
"08-24-2025","'@devilsreserve","0","0","13","10","10","1","10%","1","0","0","4"
"08-25-2025","'@devilsreserve","0","0","13","5","5","0","0%","0","0","0","0"
"08-26-2025","'@devilsreserve","0","0","13","4","4","0","0%","0","0","0","0"
"08-27-2025","'@devilsreserve","0","0","13","5","5","0","0%","0","0","0","0"
"08-28-2025","'@devilsreserve","1","0","13","91","91","2","2.2%","2","0","0","0"
"08-29-2025","'@devilsreserve","0","0","13","36","36","2","5.56%","1","1","0","1"
"08-30-2025","'@devilsreserve","0","0","13","13","13","0","0%","0","0","0","1"
"08-31-2025","'@devilsreserve","0","0","13","3","3","0","0%","0","0","0","0"
"09-01-2025","'@devilsreserve","0","0","13","5","5","0","0%","0","0","0","0"
"09-02-2025","'@devilsreserve","0","0","13","2","2","0","0%","0","0","0","0"
