"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"5/27/2025 3:45 pm","18016802222526318","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3641957012331576657","",,"71","71","","71","71","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","70","4","0","","","","",""
"5/27/2025 3:43 pm","18088023523645614","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3641955964955289110","🔥🔥😈",,"76","76","","76","76","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","80","3","0","","","","",""
"5/27/2025 3:41 pm","18009848813685876","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3641955241094008354","",,"88","88","","87","87","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","75","6","0","","","","",""
"5/26/2025 11:08 am","18482297206070735","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DKHwoB7tVpb/","Toss your halo, take the shot, and join the dark side 😈

Breakaway has a taste of Devil’s Reserve, and let’s just say the angel behavior didn’t last long.

⬇️Tag the friend who’s always first in line for the chaos.

#devilsreserve #breakaway #raisealittlehell #cuervoenergy #festivals @breakaway @kursza",,"1,743","1,743","","563","563","","","2.7%","47","37","37","","","","","","","5","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/22/2025 10:53 am","17992710224797799","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3638186296410947734","",,"120","120","","118","118","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","99","16","0","","","","",""
"5/22/2025 10:51 am","18021690890509932","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3638185412612349161","",,"121","121","","113","113","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","100","14","0","","","","",""
"5/20/2025 9:10 pm","17852364198411111","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3637047050891610841","",,"88","88","","87","87","","","1.14%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","62","22","1","","","","",""
"5/20/2025 9:09 pm","18084109261676175","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3637046762096840699","",,"87","87","","90","90","","","3.45%","3","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","73","7","1","","","","",""
"5/20/2025 10:52 am","17941152731880055","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3636735980922671595","Loving the hat! 😏😈",,"141","141","","133","133","","","1.42%","2","","","","","","","","","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","97","30","2","","","","",""
"5/18/2025 11:27 pm","17940311412007617","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3635666470446664368","",,"142","142","","143","143","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","127","19","0","","","","",""
"5/18/2025 11:26 pm","18109915900500533","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3635666268935602054","",,"150","150","","149","149","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","101","8","0","","","","",""
"5/18/2025 11:26 pm","17922410502081051","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3635666105105940284","",,"152","152","","153","153","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","126","13","0","","","","",""
"5/18/2025 3:44 am","18394616017113601","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3635071322276548443","",,"107","107","","98","98","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","81","25","0","","","","",""
"5/16/2025 8:49 pm","18270154462302727","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3634137526346168971","",,"135","135","","132","132","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","100","27","0","","","","",""
"5/16/2025 10:03 am","18012422447721018","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3633812362081247165","",,"136","136","","129","129","","","0.74%","1","","","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","84","23","0","","","","",""
"5/16/2025 9:58 am","18064179740015841","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3633809768390705839","",,"147","147","","140","140","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","94","19","0","","","","",""
"5/14/2025 4:58 pm","18028999820429154","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3632571538815182315","",,"139","139","","132","132","","","1.44%","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","89","32","1","","","","",""
"5/14/2025 4:55 pm","18056015785999384","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3632570286026913619","",,"140","140","","135","135","","","1.43%","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","122","15","1","","","","",""
"5/13/2025 11:34 am","18059624192327643","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3631683985601920490","",,"144","144","","141","141","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","77","51","0","","","","",""
"5/12/2025 5:12 pm","18342918205082506","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3631129023247523325","",,"25","25","","49","49","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","41","9","0","","","","",""
"5/12/2025 1:36 pm","18499031698002732","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3631020419496479855","",,"175","175","","132","132","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","136","35","0","","","","",""
"5/11/2025 1:12 pm","18037881044313378","Instagram","Post","Carousel","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/p/DJhW5HSNgas/","The pour that starts the party—and summons a little hell 🔥

#devilsreserve #raisealittlehell #shotskiseason #drinkifyoudare",,"1,859","1,859","","764","764","","","2.15%","40","34","34","","","","","","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Breakaway"
"5/10/2025 4:45 pm","18046652978435767","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3629666158477499615","",,"162","162","","160","160","","","0.62%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","138","33","1","","","","",""
"5/10/2025 4:45 pm","17943724046861488","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3629665999848876296","",,"174","174","","170","170","","","2.3%","4","","","","","","","","","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","155","16","0","","","","",""
"5/9/2025 3:29 pm","17979741224835649","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3628903059457264250","",,"81","81","","76","76","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","45","23","0","","","","",""
"5/9/2025 3:29 pm","18031111817385853","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3628902938384510568","",,"76","76","","77","77","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","71","3","0","","","","",""
"5/9/2025 3:28 pm","18326069302167671","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3628902634121246871","",,"79","79","","80","80","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","78","3","0","","","","",""
"5/9/2025 3:28 pm","18064750405845592","Instagram","Story","Video","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3628902447055308223","",,"86","86","","86","86","","","0%","0","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","71","11","0","","","","",""
"5/9/2025 12:10 pm","18123641146445334","Instagram","Reel","Video","devilsreserve","Estefanie Marmolejo","https://www.instagram.com/reel/DJcGEbZCbCI/","The Devil’s watching 👀
You didn’t think he’d throw a party and miss it, did you?

#devilsreserve #hellraisersonly #mischiefincoming #drinkwiththedevil",,"1,071","1,071","","1,063","1,063","","","2.61%","28","20","20","","","","","","","4","4","0","","","","","","","","","1,071","1,071","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/8/2025 4:22 pm","18060542507145367","Instagram","Story","Photo","devilsreserve"," ","https://instagram.com/stories/devilsreserve/3628205135064491495","",,"169","169","","164","164","","","0.59%","1","","","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","107","41","1","","","","",""
